Darija (Arabic),Darija (Arabizi),Arabic Standard,English
ا,2,ا,a
أ,2,أ,a
أ,a,أ,a
ا,a,ا,a
ب,b,ب,b
ت,t,ت,t
ث,th,ث,th
ج,j,ج,j
ج,dj,ج,j
ح,7,ح,h
ح,h,ح,h
خ,kh,خ,kh
خ,5,خ,kh
د,d,د,d
ذ,d,ذ,d
ر,r,ر,r
ز,z,ز,z
س,s,س,s
س,c,س,s
ش,ch,ش,ch
ش,sh,ش,sh
ص,s,ص,s
ص,ç,ص,s
ض,d,ض,d
ض,dh,ض,dh
ط,t,ط,t
ظ,dh,ظ,dh
ظ,d,ظ,d
ع,3,ع,A
غ,gh,غ,G
ف,f,ف,F
ق,9,ق,K
ك,k,ك,k
ل,l,ل,L
م,m,م,m
ن,n,ن,n
ه,h,ه,h
و,ou,و,u
و,w,و,W
ي,y,ي,y
ي,i,ي,i
ة,t,ة,t
شنو هو الرصيد ديالي؟,shno howa raseed diali?,ما هو رصيدي؟,What is my balance?
شنو هو  رصيدي,shnow howa rassidi,ما هو رصيدي؟,What is ly balance?
شنو هو الرصيد تاعي,shno howa rassid diali,ما هو رصيدي؟,What is ly balance?
شنو هو  رصيدي,shno howa errassid dyali,ما هو رصيدي؟,What is my balance?
بغيت نعرف الرصيد ديالي,bghit na3raf errasid diali,ما هو رصيدي؟,What is my balance?
بغيت نعرف الرصيد ديالي,bghit na3ref rassid dyali,ما هو رصيدي؟,What is my balance?
بغيت نشوف المعاملات الأخيرة ديالي.,bghit nshof lmo3amalat lakhirine diali.,أريد مشاهدة معاملاتي الأخيرة.,I want to check my recent transactions.
كيفاش نقدر نطلب دفتر شيكات جديد؟,kifach n9dr ntlb daftar chikat jdida?,كيف أطلب دفتر شيكات جديد؟,How can I order a new checkbook?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,shno hiya lwatha2 lli khasni njib bach nfta7 7isab?,ما هي الوثائق التي أحتاجها لفتح حساب؟,What documents do I need to open an account?
فين كاينة أقرب وكالة؟,fin kayna aqrab wikal?,أين تقع أقرب وكالة؟,Where is the nearest branch?
بغيت نحول الفلوس لحساب آخر.,bghit nhoul lflous l7isab akhar.,أريد تحويل الأموال إلى حساب آخر.,I want to transfer money to another account.
شنو ندير إذا نسيت كلمة المرور ديالي؟,shno ndir ila nssit kalimat al mouror diali?,ماذا أفعل إذا نسيت كلمة المرور الخاصة بي؟,What should I do if I forget my password?
بغيت نقدم طلب قرض شخصي.,bghit nqaddem talab qarad chakhsi.,أريد تقديم طلب للحصول على قرض شخصي.,I want to apply for a personal loan.
شنو هي الفوائد على القروض السكنية؟,shno hiya lfawa2ed 3la lqroud alsaknia?,ما هي الفوائد على القروض السكنية؟,What are the interest rates on home loans?
كيفاش نقدر نوقف البطاقة البنكية ديالي؟,kifach n9dr nqif lbataka bankia diali?,كيف يمكنني إيقاف بطاقتي البنكية؟,How can I block my bank card?
شنو هي الساعات ديال الخدمة ديالكم؟,shno hiya sa3at diyal khidma dialkom?,ما هي ساعات العمل لديكم؟,What are your working hours?
شنو هي الخدمات لي تقدمها هاد الوكالة؟,shno hiya khadamat lli taqdim had lwikala?,ما هي الخدمات التي تقدمها هذه الوكالة؟,What services does this branch offer?
واش نقدر نفتح حساب اونلاين؟,wash n9dr nfta7 7isab online?,هل يمكنني فتح حساب عبر الإنترنت؟,Can I open an account online?
شنو هي المزايا ديال البطاقة البريميوم؟,shno hiya mazaya diyal bataka premium?,ما هي مميزات البطاقة البريميوم؟,What are the benefits of the premium card?
بغيت نحول الفلوس لحساب دولي.,bghit nhoul lflous l7isab dowli.,أريد تحويل الأموال إلى حساب دولي.,I want to transfer money to an international account.
شنو هو السقف ديال السحب اليومي؟,shno howa sqaf dyal sa7b lyawmi?,ما هو الحد الأقصى للسحب اليومي؟,What is the daily withdrawal limit?
كيفاش نخلص الفواتير ديالي؟,kifach nkhlas lfawatir dyali?,كيف أدفع فواتيري؟,How can I pay my bills?
بغيت نوقف تحويل أوتوماتيكي.,bghit nqif ta7wil otomatiky.,أريد إيقاف تحويل أوتوماتيكي.,I want to stop an automatic transfer.
ما لعمل إذا تعطلت البطاقة ديالي؟,shno l3amal ila t3atl bataka dyali?,ما العمل إذا توقفت بطاقتي؟,What should I do if my card stops working?
شنو هي الخطوات باش نوقف بطاقة مسروقة؟,kifach nqif bataka masrou9a?,ما هي الخطوات لإيقاف بطاقة مسروقة؟,What are the steps to block a stolen card?
كيفاش نبلغ على معاملة مشبوهة؟,kifach nblagh 3la mo3amala machbouha?,كيف أبلغ عن معاملة مشبوهة؟,How do I report a suspicious transaction?
كيفاش نعاود نضبط الرقم السري؟,kifach n3awed n9ayd lra9m sirri?,كيف أعيد ضبط كلمة السر؟,How can I reset my password?
شنو هي الوثائق لي خاصني باش ناخد قرض؟,shno hiya lwatha2 lli khasni bach nakhod qarad?,ما هي الوثائق اللازمة للحصول على قرض؟,What documents are required for a loan?
شنو هي الشروط ديال قرض السيارة؟,shno hiya choroT diyal qarad sayara?,ما هي شروط قرض السيارة؟,What are the conditions for a car loan?
شنو الفرق بين بطاقة الائتمان وبطاقة السحب؟,shno lfar9 bin bataka li'iitiman w bataka sa7b?,ما الفرق بين بطاقة الائتمان وبطاقة السحب؟,What is the difference between a credit card and a debit card?
كيفاش نزيد الحد ديال البطاقة؟,kifach nzid l7add dyal bataka?,كيف أزيد الحد الائتماني للبطاقة؟,How can I increase my card limit?
واش كاين عروض خاصة بالطلبة؟,wash kayn 3roud khassa bttalaba?,هل توجد عروض خاصة للطلاب؟,Are there special offers for students?
شنو هي الامتيازات للمهنيين؟,shno hiya l'imtyazat llmohaniyin?,ما هي الامتيازات للمحترفين؟,What are the benefits for professionals?
كيفاش نزيد الأمان ديال الحساب ديالي؟,kifach nzid l2aman diyal 7isab diali?,كيف أزيد من أمان حسابي؟,How can I make my account more secure?
شنو ندير إذا تعرضت لمحاولة نصب؟,shno ndir ila t3arradt lmo7awala nasb?,ماذا أفعل إذا تعرضت لمحاولة احتيال؟,What should I do if I face a fraud attempt?
شنو هي خطط التوفير لي عندكم؟,shno hiya khaTat tawfir lli 3andkom?,ما هي خطط الادخار المتاحة لديكم؟,What are your saving plans?
كيفاش نبدأ نستثمر معاكم؟,kifach nbda nastathmar m3akom?,كيف أبدأ الاستثمار معكم؟,How can I start investing with you?
,,لا أحد أعرفهُ يتحدث إلى توم بعد الآن.,No one I know talks to Tom anymore.
,,اشترى لنا عمّي جهاز تلفاز جديد.,My uncle brought a new TV set for us.
,,ماتت عمتي منذ سنتين.,My aunt has been dead for two years.
,,لديك فقط 24 ساعة أخرى لتقرّر.,You only have 24 hours left to decide.
,,لديها ابنة تعزف على البيانو.,She has a daughter who is a pianist.
,,لديَ الكثير من كلمات السر لأتذكرها.,I have a lot of passwords to remember.
,,"ليس لدي أكثر من 1,000 ين .","I have no more than 1,000 yen with me."
,,إني أنتظرك منذ خمس ساعات.,I've been waiting for you for 5 hours.
,,لدي صديق يعيش في سابورو.,I have a friend who lives in Sapporo.
,,لم أقم بصيد السمك منذ وقت طويل,I haven't been fishing in a long time.
,,لدي أشياء أهم لأفعلها.,I have more important things to do.
,,لدينا الكثير من الزلازل في اليابان.,We have a lot of earthquakes in Japan.
,,لقد ساعدتْ الرجل العجوز على عبور الطريق.,She helped the old man cross the road.
,,لقد ساعدتْ العجوز على عبور الطريق.,She helped the old man cross the road.
,,حصل أغرب من ذلك.,"Well, stranger things have happened."
,,يبدو من منظر السماء أنها من الممكن أن تمطر اليوم بعد الظهر.,"Judging from the look of the sky, it may rain this afternoon."
,,متى خلدت إلى النوم ليلة الأمس؟,What time did you go to bed last night?
,,هل تعرف كيف أصل إلى منزل توم؟,Do you know how to get to Tom's house?
,,أنا أعرف ما الذي تبحث عنهُ.,I know what it is you're looking for.
,,لا ريب بأنّ هذه هي أفضل طريقة.,This is definitely the best method.
,,ما غرض زيارتك؟,What is the purpose of your visit?
,,لِمَ لَمْ يعد يرسل لي رسائلا؟,Why doesn't he send me letters anymore?
,,لماذا تحدث هذه الأشياء لي؟,Why do these things happen to me?
,,لماذا السياح الصينيون فظين لدرجة ؟,Why are Chinese tourists so rude?
,,لماذا أخبرت توم بأنه كان خطئي؟,Why did you tell Tom it was my fault?
,,لم تظن أنني أخبرتها بذلك؟,Why do you think I told her about it?
,,"لماذا يسمى الخريف ""fall"" في أمريكا؟","Why is autumn called ""fall"" in America?"
,,لماذا لم تخبرنا بانك تعرف الفرنسية؟,Why didn't you tell us you knew French?
,,لمَ لا نتّفق على ألّا نتّفق فحسب؟,Why don't we just agree to disagree?
,,لماذا تلومني على ما حصل؟,Why do you blame me for what happened?
,,لدي ثلاث أولاد خالة.,I have three cousins on my mother's side.
,,هل عندك الوقت لتشرب شيئا ما؟,Do you have the time to drink something?
,,عرفت المكان الذي كان يسكن فيه توم.,I found out where Tom used to live.
,,قد أُنذِر مرات عديدة.,He has been warned on several occasions.
,,علقت رجلي بباب القطار.,I got my foot caught in a train door.
,,يجب إبقاء هذا الدرس في الحسبان.,This lesson should be kept in mind.
,,حتى الآن، كل شيء كان ناجحا.,So far everything has been successful.
,,لا أحد من زملائي يعيشون بالقرب من هنا.,None of my classmates live near here.
,,أبقى عينيه مسلّطةً على وجهها.,He kept his eyes fixed on her face.
,,أزعجني بكاء الطفل.,I was bothered by the baby's crying.
,,لقد أصاب قدمه اليسرى عندما سقط.,He hurt his left foot when he fell.
,,قاس طول السرير.,He measured the length of the bed.
,,أخبرتُهُم أن يُرْسِلُوا لي تذِكرةً أُخرى.,I told them to send me another ticket.
,,يتحدث أغلب الناس هنا الفرنسية.,Almost everybody here speaks French.
,,درست في بوسطون من عام ألفين و ثلاثة إلى عام ألفين و سبعة للميلاد.,I studied in Boston from 2003 to 2007.
,,درست الإنجليزية لمدة خمس سنوات.,I've studied English for five years.
,,ادعنا للعشاء في مطعم.,Invite us to dinner at a restaurant.
,,خير أصدقاء الفتاة: الألماس.,Diamonds are a girl's best friends.
,,أتريد حقا من توم أن يفعل ذلك؟,Do you really want Tom to do that?
,,هل تتذكر كيف كانت تبدو؟,Do you remember what she was like?
,,أكيليز بطل أسطوري عند الإغريق.,Achilles was an ancient Greek hero.
,,أنا مجرد موظف عادي.,I'm just a plain old office worker.
,,أنا مجرد موظف كأي موظف.,I'm just a plain old office worker.
,,أنا عضو في نادي السباحة.,I'm a member of the swimming club.
,,انا لست عدوك. انا صديقك.,I'm not your enemy. I'm your friend.
,,"أنا أُحب الكلاب, ولكن أُختي تحب القطط.","I like dogs, but my sister likes cats."
,,أنا وتوم نعيل بعضنا.,Tom and I are dependent on each other.
,,استعارت اللغة الإنجليزية كلمات كثيرة من الفرنسية.,English has many loan words from French.
,,أنا خائف جداً من الذهاب إلى هناك بمفردي.,I'm too scared to go there by myself.
,,أنا خائفه جداً من الذهاب إلى هناك بمفردي.,I'm too scared to go there by myself.
,,أبحث عن هدية لأبي.,I'm looking for a gift for my father.
,,ألغوا زيارتهم إلى لندن.,They called off their visit to London.
,,اسمي لا يبدو في القائمة.,My name doesn't appear on the list.
,,أخشي أني لا أتفق معك.,I am afraid I don't agree with you.
,,توفي أبي قبل عامين.,My father passed away two years ago.
,,أعطاني أبي قلمًا سائلًا جديدًا.,My father gave me a new fountain pen.
,,لا يُكثِرُ أبي من أكل الفاكهة.,My father does not eat much fruit.
,,أبي مهندس كهربائي.,My father is an electric engineer.
,,لا يسمح لي أبي بقيادة السيارة.,My father doesn't let me drive a car.
,,سيتقاعد أبي الربيع المقبل.,My father is retiring next spring.
,,لربمّا عليك إطفاء التلفاز وعمل شيء آخر.,Maybe you should turn off the television and do something else.
,,ربّما نسيت المظلّة في الحافلة.,She may have left her umbrella on the bus.
,,لربما قابلته في مكان ما من قبل و لكني لا أذكر أين.,"I may have met him somewhere before, but I can't recall where."
,,ربما قرأت هذا الكتاب أصلًا.,You may have read this book already.
,,انتبه! هناك حفرة كبيرة هناك.,Watch out! There's a big hole there.
,,لا بد أنها ما زالت في العشرينات من عمرها.,She must still be in her twenties.
,,لابد أنه كان مؤلماً للغاية,It must've been extremely painful.
,,بدأت تعلّم الصينية الأسبوع الماضي.,I started learning Chinese last week.
,,ستتزوج ابنتي في يونيو,My daughter is getting married in June.
,,الكثير من المتاحف تكون مغلقة أيام الإثنين.,Many museums are closed on Mondays.
,,ليس عليك الاعتذار.,You don't have to make an apology.
,,إنسان من ذلك النوع سيفشل بالتأكيد.,That kind of person will fail for sure.
,,باركت له على نجاحه.,I congratulated him on his success.
,,كم عندك من الأصدقاء المُقَرّبين؟,How many close friends do you have?
,,كم مجلة على المكتب؟,How many magazines are on the desk?
,,أشعل الضوء. لا يمكنني أن أرى شيئاً.,Switch on the light. I can't see anything.
,,أظن أنه من الأفضل لك أن تبدأ حمية غذائية.,I think you'd better go on a diet.
,,أظن بأني سأطلب من ماري أن تتزوجني.,I think I'll ask Mary to marry me.
,,زعموا أنه قتلها.,They claimed that he'd killed her.
,,كانت الغرفة خالية من الأثاث.,There was no furniture in that room.
,,إلى كم ساعة من النوم تحتاج؟,How many hours of sleep do you need?
,,أي طالب بإمكانه حل هذه المسألة.,Any student can solve this problem.
,,في الدقيقة ستون ثانية.,There are sixty seconds in a minute.
,,بنى سِياجاً حول بيته.,He built a fence around his house.
,,بنى سِياجاً خشبياً حول بيته.,He built a fence around his house.
,,فعل ما طلبت منه تماماً.,He did exactly what I told him to do.
,,جميع أفراد عائلتي خارج المدينة.,All of my friends are out of town.
,,يؤلمني سن العقل في أعلى يمين أسناني.,My upper right wisdom tooth hurts.
,,لقد غيرَ داروين الطريقة التي نري بها العالم.,Darwin changed the way we see the world.
,,غفوت قبل أن يأتي والدي للمنزل.,I fell asleep before my father came home.
,,هكذا كانت الأمور دائمًا.,This is always the way it has been.
,,أصاب بالبرد دائمًا في الشتاء.,I always catch a cold in the winter.
,,تحاول دائما لوم شخص آخر.,You always try to blame somebody else.
,,تأخرنا بسبب العاصفة.,We were late because of the storm.
,,هو غمس ملعقته في الحساء.,He dipped his spoon into the soup.
,,طلبت من أخي إصلاح دراجتي.,I had my brother repair my bicycle.
,,عقدتُ العزم على أن أكون عالمًا في العلوم الطبيعية.,I am determined to be a scientist.
,,أعتذر لعدم الرد عليك أبكر.,I'm sorry I didn't reply to you sooner.
,,أتتني وسألتني عن اسمي.,She came up to me and asked my name.
,,جدي في التسعينات من عمره.,My grandfather is in his nineties.
,,أمضيت كل الظهيرة في المكتبة.,I spent all afternoon in the library.
,,ذوقيه و أخبريني عن طعمه.,Try it and tell me what it tastes like.
,,سأخذ أشعة سينية لأسنانك.,I'll take some X-rays of your teeth.
,,سأجلب لك الفاتورة حالًا.,I'll bring you the bill immediately.
,,التنين حيوان خرافي.,The dragon is an imaginary creature.
,,يرجى أن تقفل الباب عند مغادرتك.,Please lock the door when you leave.
,,تسببت العاصفة بخسائر فادحة.,The storm caused a lot of damage.
,,أحدثت العاصفة الكثير من الخسائر.,The storm caused a lot of damage.
,,الاستمتاع أسهل من العمل.,It's easier to have fun than to work.
,,إمش بسرعة، وإلا فاتك القطار.,"Walk faster, or you'll miss the train."
,,الطيور على أشكالها تقع.,Birds of a feather flock together.
,,في أي مجلدٍ حفظت الملف؟,In which folder did you save the file?
,,هل تظن حقا أن توم لن يأتي؟,Do you really think that Tom won't come?
,,ماذا تعتقدين أني كنت أفعل؟,What do you think I've been doing?
,,أين تظن أن علينا أن نمكث؟,Where do you think we should stay?
,,أين تظن أن علينا أن نبقى؟,Where do you think we should stay?
,,أحقا تظن أن توم سيفعل ذلك؟,Do you really think Tom will do that?
,,وأخيرًا وجدت مفاتيحها المفقودة.,She finally found her missing keys.
,,الكل يريد أن يجلس بجانبها.,Everybody wants to sit beside her.
,,ولد جورج واشنطن عام 1732.,George Washington was born in 1732.
,,غابت لأنها مريضة.,She is absent because of sickness.
,,سألعب كرة المضرب غداً.,I am going to play tennis tomorrow.
,,ستشعر بتحسّن غدا، أعدك بذلك.,"You'll feel better tomorrow, I promise."
,,من الأفضل أن تغادر. إن الوقت متأخر.,You'd better go. It's getting late.
,,أخطأت نفس خطإكَ المرة السابقة.,You made the same mistake as last time.
,,من فضلك اشرح لماذا لا يمكنك المجيء.,Please explain why you can't come.
,,ستجد أن هذه الخريطة مفيدة للغاية.,You'll find this map very useful.
,,تلك الموسيقى تذكرني دائماً بك.,That music always reminded me of you.
,,بُني هذا الجسر منذ عامين.,This bridge was built two years ago.
,,هذه المشكلة صعبة الحل.,The problem is too difficult to solve.
,,هذه نقطة مهمة جداً.,This is an extremely important point.
,,أهذا هو الكتاب الذي تبحث عنه؟,Is this the book you're looking for?
,,هذا هو المفتاح الذي يفتح الباب.,This is the key that opens that door.
,,إنه صديقي، هل تعرفونه يا شباب؟,He is my friend. Do you guys know him?
,,أهذا كل ما أردت قوله؟,Is that all you wanted to tell me?
,,هذا ما حدث هنا يوم الإثنين.,That's what happened here on Monday.
,,لقد إنتهيت للتو من تناول الإفطار.,I've just finished eating breakfast.
,,هذأ أسوأ شيء أرتكبتُه.,This is the worst thing I've ever done.
,,هل هذه أول زيارة لك إلى اليابان؟,Is this your first visit to Japan?
,,هذه أعمق نقطة في البحيرة.,The lake is deepest at this point.
,,هنأته على نجاحه.,I congratulated him on his success.
,,هاواي هي منتجع سياحي مشهور .,Hawaii is a popular tourist resort.
,,هىَ وضعت المجلة علىَ المنضدة.,She put the magazine on the table.
,,هىَ وضعت المجلة علىَ الطاولة.,She put the magazine on the table.
,,هي تحتاجه أكثر ممّا يحتاجها.,She needs him more than he needs her.
,,هنا موقع الحادث.,This is where the accident happened.
,,إذا عرفت الحقيقة سأخبرك.,"If I knew the truth, I would tell you."
,,إن كنت تبحث عن وظيفة، اتصل بي.,"If you're looking for a job, call me."
,,ان كنت ستشكّك في كلّ شيء، فشكّك في شكّك على الأقل.,"If you're going to doubt everything, at least doubt your doubt."
,,إن احتجت المال سأطلبه من والدي.,"If I need money, I'll ask my father."
,,إذا كان الكلام من فضة فالسكوت من ذهب.,"Speech is silver, silence is gold."
,,أتمنى أن تفعل ما أُمِرت به.,I wish you would do as you're told.
,,آمل أن ظنك ما خاب كثيرا.,I hope you aren't too disappointed.
,,آمل أن تخطئ توقعات توم.,I hope Tom's predictions are wrong.
,,تحدث ايفرت لقرابة الساعتين.,Everett spoke for almost two hours.
,,آمل أن تتحقّق كلّ أحلامك.,I hope that all your dreams come true.
,,لم أمرض يوما في حياتي.,I've never been sick a day in my life.
,,تستورد اليابانُ الفاكهةَ من كاليفورنيا.,Japan imports oranges from California.
,,يحب اليابانيون السفر كمجموعات.,The Japanese like to travel in groups.
,,كان عليّ فعل هذا منذ زمن.,I should have done this years ago.
,,كان لطيفًا جدًّا مع الجميع.,He was very friendly to everybody.
,,كان فقيراً ولم يستطع شراء المعطف.,He was poor and couldn't buy a coat.
,,كان متفوقا في الموسيقى حتى في طفولته.,He excelled in music even as a child.
,,هل كانت سماء طوكيو ملبدة بالغيوم البارحة؟,Was it cloudy in Tokyo yesterday?
,,كان هناك الكثير من الناس في الغرفة.,There were a lot of people in the room.
,,هذا أمر عليك تذكره.,That's something you need to remember.
,,هناك الكثير من الحيوانات في الحديقة.,There are lots of animals in the park.
,,هناك الكثير من الطلبة في القاعة الرياضية.,There are a lot of students in the gym.
,,توجد جثّة في صندوق السيّارة.,There's a body in the trunk of the car.
,,توجد بعض المحلات قرب منزلي.,There are a few shops next to my house.
,,أيتوافر هذا بلون مختلف؟,Does this come in any other color?
,,هل هناك صرّاف آلي قريب من هنا؟,Is there a cash machine near here?
,,أيوجد صرّاف آلي بالقرب من هنا؟,Is there a cash machine near here?
,,هناك ستون ثانية في الدقيقة.,There are sixty seconds in a minute.
,,أبقِ غرفتك نظيفةً بقدر الإمكان.,Keep your room as neat as you can.
